	origin_source_name	origin_entity_id	tamr_id	API_NUMBER	COUNTY	LATITUDE_UNIFIED	LONGITUDE_UNIFIED	LATITUDE_SURFACE	LATITUDE_BOTTOM	LONGITUDE_BOTTOM	LONGITUDE_SURFACE	OPERATOR_ID	OPERATOR_NAME	SPUD_DATE	WELL_NAME	WELL_NUMBER	WELL_STATUS	FIELD_NAME	FIELD_ID	LEASE_NAME	NAMES_UNIFIED	WELL_NAME_UNIFIED	SPUD_DATE_tamr	API_NUMBER_strip	Geofeature
177	u	7	-	4200339358	Andrews	32.15457942	-102.74388879					748011	SANDRIDGE EXPL. AND PROD., LLC	12/4/2009		5		MARTIN (SAN ANDRES)	266	"PHILLIPS UNIVERSITY ""P"""	"PHILLIPS UNIVERSITY ""P"""	"PHILLIPS UNIVERSITY ""P"" 5"	2009-12-04	4200339358	{'point': [-102.74388879, 32.15457942], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
175	u	7	-	4200339358	Andrews	32.15457942	-102.74388879					748011	SANDRIDGE EXPL. AND PROD., LLC	12/4/2009		5		MARTIN (SAN ANDRES)	266	"PHILLIPS UNIVERSITY ""P"""	"PHILLIPS UNIVERSITY ""P"""	"PHILLIPS UNIVERSITY ""P"" 5"	2009-12-04	4200339358	{'point': [-102.74388879, 32.15457942], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
274	W	3	8	'3508323883		35.95485	-97.472750000000005					22387	HENDERSON OPERATING LLC	2008-05-17	CRESCENT THUNDER	'10	AC				CRESCENT THUNDER	CRESCENT THUNDER '10	2008-05-17	'3508323883	{'point': [-97.47275, 35.95485], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1164	W	1	7	'35029211580000		34.696111111111108	-96.267222222222216					22182	LINN OPERATING LLC	2010-08-24	HOLDER	'2-33H	AC				HOLDER	HOLDER '2-33H	2010-08-24	'3502921158	{'point': [-96.26722222222222, 34.69611111111111], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
387	p	8	9		UPTON	31.4415666	-102.06466309999999	31.4415666	31.4415666	-102.06466309999999	-102.06466309999999	166150		2010-09-29T00:00:00		4	W			JUNE	JUNE	JUNE 4	2010-09-29		{'point': [-102.06466309999999, 31.4415666], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1218	p	7	7		COLEMAN	31.5236539	-99.2130339	31.5236539	31.5236539	-99.2130339	-99.2130339	229339				14				HAYNES, CLYDE	HAYNES, CLYDE	HAYNES, CLYDE 14			{'point': [-99.2130339, 31.5236539], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1158	p	5	7		THROCKMORTON	33.010527	-99.19318100000001	33.010527	33.010527	-99.19318100000001	-99.19318100000001	108799		2017-11-07T00:00:00		2				KEY UNIT	KEY UNIT	KEY UNIT 2	2017-11-07		{'point': [-99.19318100000001, 33.010527], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
712	p	2	7		ZAPATA	26.8639735	-99.1220208	26.8639735	26.8639735	-99.1220208	-99.1220208	495450				7				WHITTIER	WHITTIER	WHITTIER 7			{'point': [-99.1220208, 26.8639735], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1433	p	1	7		PANOLA	32.2243936	-94.48165909999999	32.2243936	32.2246541	-94.4809454	-94.48165909999999	830202				3	D			CRAWFORD ESTATE OIL UNIT	CRAWFORD ESTATE OIL UNIT	CRAWFORD ESTATE OIL UNIT 3			{'point': [-94.48165909999999, 32.2243936], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
129	p	1	-		ANDREWS	32.1444491	-102.7656391	32.1444491	32.1444491	-102.7656391	-102.7656391	569690				2	W			UNIVERSITY 11 A	UNIVERSITY 11 A	UNIVERSITY 11 A 2			{'point': [-102.7656391, 32.1444491], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
364	p	2	9		FREESTONE	31.5602716	-96.2850217	31.5602716	31.5602716	-96.2850217	-96.2850217	945936				13				BELL GAS UNIT	BELL GAS UNIT	BELL GAS UNIT 13			{'point': [-96.2850217, 31.5602716], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
392	p	1	7		IRION	31.125155499999998	-101.2392494	31.125155499999998	31.1031718	-101.2390638	-101.2392494	766370				0906H				UNIVERSITY 43	UNIVERSITY 43	UNIVERSITY 43 0906H			{'point': [-101.2392494, 31.125155499999998], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
